Employee_id,first_name,last_name,gender,Salary,Date_of_Birth,Age,Country,Department,Date_of_Joining,Manager_id,Currency
1,Matt,Fritz,Female,102352,23/01/1990,2,Canada,4,09/09/2020,10,INR
2,Yasmeen,Simonnin,Male,108990,27/12/1990,-10,India,10,06/09/2020,6,INR
3,Kally,Lachaize,Male,72198,24/09/1981,59,Sweden,5,24/04/2020,16,AUD
4,Gwendolin,Peidro,Male,95596,09/12/1981,20,China,11,18/01/2020,16,AUD
5,Darb,Gullen,Female,82382,27/06/1991,28,India,3,21/01/2020,11,AUD
6,Estella,Argabrite,Male,94420,12/02/1987,12,India,3,20/06/2020,2,INR
7,Christean,Hatto,Male,71564,17/12/1981,24,Sweden,2,02/05/2020,2,AUD
8,Lorita,Rattenberie,Female,60159,28/10/1992,-8,Japan,6,08/09/2020,11,INR
9,Russ,Leadbitter,Female,101755,26/08/1983,32,Denmark,3,08/11/2020,20,AUD
10,Jennica,Leibold,Male,108861,17/05/1981,-17,China,19,28/08/2020,9,AUD
11,Dulcie,Bance,Female,64020,04/10/1992,31,Canada,8,30/08/2020,20,AUD
12,Den,Fitchett,Female,94373,24/09/1980,1,USA,11,26/04/2020,12,AUD
13,Brooks,Brute,Female,119022,24/04/1992,-12,Brazil,14,22/08/2020,10,INR
14,Chadd,Haldene,Male,83342,05/11/1983,-3,Canada,2,01/10/2020,18,AUD
15,Devondra,Grout,Male,118161,17/03/1983,58,Australia,13,17/03/2020,16,AUD
16,Allys,Coathup,Male,126803,18/12/1987,-8,Canada,8,26/05/2020,3,INR
17,Darell,Cowell,Male,116832,16/01/1986,-10,Brazil,7,08/05/2020,2,INR
18,Kevin,Siebert,Male,62613,27/04/1990,-11,Japan,7,18/10/2020,12,INR
19,Lorne,Assender,Female,127466,09/10/1989,38,USA,18,10/09/2020,2,AUD
20,Ricard,Cowitz,Female,122956,02/04/1988,10,India,7,01/12/2020,8,AUD
21,Joby,Castel,Female,96460,03/02/1987,-4,Brazil,17,18/04/2020,4,INR
22,Jarvis,Morcom,Female,96514,07/12/1980,-14,China,17,20/11/2020,12,AUD
23,Ashlie,Dollard,Male,116426,21/04/1980,9,Sweden,6,08/12/2020,8,INR
24,Ally,Bletso,Male,116601,11/01/1991,18,Germany,19,10/11/2020,13,AUD
25,Gilberte,Tuer,Male,94615,06/03/1986,-11,Canada,3,09/12/2020,6,AUD
26,Phaedra,Digwood,Male,124217,28/01/1987,54,USA,17,05/01/2020,16,AUD
27,Suzy,Peek,Female,115141,26/10/1984,43,Japan,13,14/06/2020,10,INR
28,Lorene,Westell,Female,76699,13/04/1992,13,Brazil,9,12/05/2020,7,AUD
29,Demetria,Larrie,Female,125855,21/08/1990,41,Canada,7,18/01/2020,9,INR
30,Berny,Czaja,Female,117158,09/06/1986,25,Canada,6,19/04/2020,19,INR
31,Germain,Kays,Female,120298,12/12/1991,32,Sweden,4,26/12/2020,15,AUD
32,Sella,Jouning,Female,123396,20/03/1984,49,Australia,17,12/07/2020,14,AUD
33,Kristel,Dosedale,Male,124226,24/03/1990,58,USA,9,01/12/2020,17,AUD
34,Pamela,Bruster,Female,86137,02/03/1989,31,Germany,13,04/09/2020,19,INR
35,Rockwell,Krammer,Male,118934,15/02/1980,22,Brazil,13,10/05/2020,2,INR
36,Raleigh,Bashford,Female,129490,26/01/1985,-8,Australia,11,26/05/2020,10,INR
37,Elbertina,Tovey,Female,122158,18/12/1986,48,Denmark,4,25/09/2020,2,AUD
38,Donica,Purnell,Female,97083,24/01/1980,37,UAE,19,16/12/2020,14,AUD
39,Sherie,Buzek,Male,111449,03/01/1990,-11,India,8,01/07/2020,13,AUD
40,Josias,Macewan,Male,106274,25/11/1981,14,Brazil,10,08/03/2020,17,INR
41,Auberta,Upward,Male,104549,04/09/1982,28,China,17,04/11/2020,13,INR
42,Riane,Cozens,Male,85086,06/08/1987,38,Canada,5,06/01/2020,6,INR
43,Ulberto,Bane,Male,97230,16/05/1991,39,USA,13,17/05/2020,13,INR
44,Eziechiele,Eddies,Female,89043,26/05/1984,-13,Brazil,15,21/06/2020,13,AUD
45,Paulette,Licciardiello,Male,88054,06/10/1981,11,USA,7,21/11/2020,10,AUD
46,Waverley,Macbane,Male,113121,24/01/1986,4,Denmark,3,02/02/2020,4,AUD
47,Marlie,Spowage,Female,112596,19/08/1986,-3,Brazil,18,27/08/2020,19,AUD
48,Lucy,Hyndes,Male,99483,20/09/1989,32,India,11,18/09/2020,18,INR
49,Cortie,Binford,Female,129241,23/11/1981,44,Sweden,10,11/12/2020,7,INR
50,Roselia,Guslon,Female,112879,03/11/1983,48,Japan,8,02/07/2020,17,AUD
51,Nathalie,Antrobus,Female,86195,17/05/1982,43,Canada,7,26/04/2020,16,AUD
52,Nomi,Lemmers,Female,90912,12/06/1984,52,Sweden,17,18/02/2020,12,INR
53,Glori,Covely,Female,118404,17/09/1990,60,USA,12,17/08/2020,15,INR
54,Michaella,Presnell,Female,65800,20/02/1991,-2,China,5,28/04/2020,6,AUD
55,Maxine,Skally,Female,69644,02/02/1990,53,Japan,3,25/10/2020,16,AUD
56,Florentia,Treher,Male,85997,06/10/1988,-11,UAE,10,02/08/2020,9,AUD
57,Corabella,Foynes,Female,65196,11/04/1986,60,Germany,16,04/04/2020,8,INR
58,Teirtza,Iczokvitz,Female,66377,02/12/1991,50,USA,14,14/09/2020,12,INR
59,Nessi,Matthius,Female,122241,24/12/1991,14,Japan,14,15/07/2020,6,AUD
