Employee_id,First_Name,Last_Name,Gender,Salary,Date_of_Birth,Age,Country,Department_id,Date_of_Joining,Manager_id,Currency,End_Date
1001,Liam,Nassie,Male,105623,07/11/1988,60,Sweden,4,23/10/2014,7,INR,30/11/2020
2,Kristopher,Farr,Female,69531,29/07/1981,13,China,10,28/05/2016,7,AUD,09/09/2018
3,Kellina,Singh,Female,96879,24/07/1984,27,India,12,21/03/2016,9,INR,09/04/2020
4,Tobit,Patel,Female,76070,29/11/1981,44,India,4,12/11/2012,17,INR,04/10/2019
1002,Noah,Bampkin,Male,62228,03/04/1981,54,USA,7,14/07/2013,8,AUD,20/10/2018
1003,Oliver,Caser,Male,106837,27/05/1984,14,China,5,15/10/2014,5,INR,03/04/2020
1004,William,Dooler,Male,77729,03/10/1991,-12,Sweden,17,21/06/2014,9,AUD,24/02/2018
1005,Elijah,Mainson,Male,81590,05/05/1992,60,Sweden,7,14/04/2018,18,INR,29/03/2019
1006,James,Huckle,Male,71206,08/04/1983,-10,Germany,13,15/05/2018,19,AUD,30/12/2020
1007,Benjamin,Tipens,Male,98642,21/03/1986,53,USA,11,31/03/2017,2,INR,22/11/2020
1008,Joseph,Choulerton,Male,108740,29/01/1985,40,Australia,9,28/09/2013,13,INR,23/08/2020
12,Kathy,Singh,Female,121493,17/10/1991,-9,Brazil,8,17/09/2010,8,INR,02/10/2020
1009,Matthew,Banks,Male,67525,26/08/1985,-6,China,8,08/12/2011,17,INR,28/12/2019
14,Loni,Nagy,Female,119141,27/01/1990,-2,Canada,8,14/10/2017,19,INR,22/05/2018
15,Melitta,Patel,Female,110615,24/08/1987,13,Germany,11,22/01/2018,20,INR,13/05/2018
1010,Jaxon,Lurcock,Male,110210,26/03/1980,14,Denmark,7,21/09/2017,7,AUD,04/11/2020
17,Ben,Patel,Female,126559,01/07/1982,28,China,7,29/12/2018,12,AUD,30/03/2018
